experiment,model,MSE,MAE,MAPE,R2,maxAE,samels/second,#parameter
DRP,UNet_filtered_90,0.0032860783394426107,0.05152824893593788,20.443742752075195,0.8038619756698608,0.3086461126804352,69.91587675406261,21768706
spheres,2l_std,0.0001748131148031399,0.007746257819235325,3.1470115184783936,0.9969577789306641,0.03743255138397217,96.65569029665707,134241218
spheres,4l_std,0.0001310737322361594,0.010465673170983791,4.2248125076293945,0.9954816699028015,0.040819644927978516,59.4868829685397,268461122
spheres,6l_std,0.00021648532429966946,0.00941808894276619,3.460529088973999,0.9952262043952942,0.04948770999908447,42.74692396287745,402681026
spheres,8l_std,0.00018500715668778867,0.011248939670622349,4.076138019561768,0.9936406016349792,0.05483487248420715,33.45094598568862,536900930
spheres,2l_ff_std,0.00020398541277370834,0.009624850004911423,5.098781108856201,0.9969967007637024,0.032095372676849365,72.59991814380469,134256066
spheres,4l_ff_std,0.0002584401919538605,0.012429753318428993,4.676751613616943,0.9927712082862854,0.06199848651885986,42.46977977220037,268490818
spheres,6l_ff_std,0.0004409625468944231,0.0177767276763916,6.285946846008301,0.9825024604797363,0.1084614098072052,30.181668099392272,402725570
spheres,8l_ff_std,0.000247,0.0126,4.7829,0.9924,0.0575,23.3707,TODO
spheres,8l_ff_std,0.0001660910836954858,0.008443810045719147,4.210624694824219,0.9973887205123901,0.023849040269851685,23.24003648939668,536960322
spheres,2l_factorized_std,0.00056226600607825,0.009576084092259407,4.14881706237793,0.9965313076972961,0.027209758758544922,45.60357858574434,300482
spheres,4l_factorized_std,0.00014130360495042185,0.007655860390514135,4.0421342849731445,0.9982566237449646,0.01963821053504944,24.874513803471334,579650
spheres,6l_factorized_std,0.00012187004076308924,0.006823493167757988,3.6686267852783203,0.99850994348526,0.016612589359283447,17.084623697211832,858818
spheres,UNet_std,0.00034227860481317703,0.009859599173069,2.8942224979400635,0.9885608553886414,0.10921740531921387,58.42350013795273,21768706
spheres,UNet_std,0.00027690851330307536,0.008477234281599522,2.300781726837158,0.9906982183456421,0.09917497634887695,58.532048863466066,21768706DRP,
spheres,4l_ff_std,0.00012277921670265015,0.01565113104879856,6.486211776733398,0.9893702268600464,0.05540552735328674,152.90776808938222,268490818
DRP,4l_ff_std,0.009553923555042433,0.19471414387226105,54.276390075683594,-0.148881196975708,0.6120681762695312,183.06321672939785,201381954
DRP,4l_ff_std,0.006764415489590686,0.13313350081443787,22.366411209106445,0.06980699300765991,0.5880224108695984,182.6464689910297,201381954
